fruit,category,image,relative_path,processed_path,mask_path,roi_pixels,roi_area_ratio,roi_bbox_width_ratio,roi_bbox_height_ratio,roi_largest_component_fraction,roi_adaptive_min_ratio,roi_valid_for_demo,roi_quality_reason
Apple,Overripe,Apple_Overripe_001.jpg,Apple/Overripe/Apple_Overripe_001.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_001.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_001_mask.png,113892,0.3163666666666667,0.8033333333333333,0.54,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_002.jpg,Apple/Overripe/Apple_Overripe_002.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_002.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_002_mask.png,154696,0.4297111111111111,0.89,0.6766666666666666,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_003.jpg,Apple/Overripe/Apple_Overripe_003.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_003.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_003_mask.png,103348,0.28707777777777777,0.4533333333333333,0.8866666666666667,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_004.jpg,Apple/Overripe/Apple_Overripe_004.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_004.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_004_mask.png,105988,0.2944111111111111,0.51,0.8833333333333333,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_005.jpg,Apple/Overripe/Apple_Overripe_005.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_005.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_005_mask.png,106644,0.29623333333333335,0.4533333333333333,0.8866666666666667,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_006.jpg,Apple/Overripe/Apple_Overripe_006.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_006.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_006_mask.png,75104,0.2086222222222222,0.38333333333333336,0.6766666666666666,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_007.jpg,Apple/Overripe/Apple_Overripe_007.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_007.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_007_mask.png,64544,0.1792888888888889,0.56,0.43,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_008.jpg,Apple/Overripe/Apple_Overripe_008.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_008.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_008_mask.png,97060,0.26961111111111113,0.68,0.49666666666666665,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_009.jpg,Apple/Overripe/Apple_Overripe_009.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_009.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_009_mask.png,249808,0.6939111111111111,0.9,0.9,1.0,0.08389333333333333,True,ok
Apple,Overripe,Apple_Overripe_010.jpg,Apple/Overripe/Apple_Overripe_010.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_010.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_010_mask.png,152116,0.42254444444444444,0.8733333333333333,0.6033333333333334,1.0,0.08389333333333333,True,ok
