fruit,category,image,relative_path,processed_path,mask_path,glcm_contrast_mean,glcm_contrast_dir_std,glcm_dissimilarity_mean,glcm_dissimilarity_dir_std,glcm_homogeneity_mean,glcm_homogeneity_dir_std,glcm_energy_mean,glcm_energy_dir_std,glcm_correlation_mean,glcm_correlation_dir_std,glcm_asm_mean,glcm_asm_dir_std,glcm_entropy_mean,glcm_entropy_dir_std,glcm_variance_mean,glcm_variance_dir_std
Apple,Overripe,Apple_Overripe_001.jpg,Apple/Overripe/Apple_Overripe_001.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_001.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_001_mask.png,0.4541637091436561,0.10939529936050393,0.3189681355738506,0.05469049076792056,0.8527415138598324,0.022533245448678886,0.16645770866913323,0.006055010142794865,0.9946261973273383,0.001297395380524388,0.027744831923207383,0.002030206951936153,5.716317657459502,0.13779614384205416,42.26357994871965,0.029624498160642648
Apple,Overripe,Apple_Overripe_002.jpg,Apple/Overripe/Apple_Overripe_002.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_002.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_002_mask.png,0.22609345129475472,0.0433729375838847,0.20527039414945264,0.03479097306553345,0.8993382516576713,0.016580951942728933,0.21386543513079456,0.007128500292977024,0.9929149546344285,0.0013577660300246688,0.04578923986011106,0.0030487301132256276,4.924567790106693,0.11103471817628831,15.955006974390761,0.005872108505802152
Apple,Overripe,Apple_Overripe_003.jpg,Apple/Overripe/Apple_Overripe_003.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_003.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_003_mask.png,0.755452285602581,0.25833485849662646,0.30587440616817396,0.07466213269108389,0.8755955214083698,0.026094049600266584,0.26920053594583637,0.005776366035864638,0.9928184589304339,0.0024594594037526314,0.07250229495810583,0.00313806190450739,5.300753013914995,0.18015388352254916,52.61100277128376,0.04163027660161131
Apple,Overripe,Apple_Overripe_004.jpg,Apple/Overripe/Apple_Overripe_004.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_004.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_004_mask.png,0.7867717305980713,0.2975896415340271,0.3390180522792905,0.07712763706353784,0.8622212315126135,0.025196061199287075,0.28619141647576907,0.004921371394212737,0.9927490403878276,0.0027447317384564256,0.08192974676080687,0.0028286403537214158,5.2660772687690365,0.16621347182541535,54.26011412716238,0.021374514736405496
Apple,Overripe,Apple_Overripe_005.jpg,Apple/Overripe/Apple_Overripe_005.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_005.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_005_mask.png,0.8299359876510981,0.3050924618326549,0.3415178157077095,0.08005499457612227,0.8616085699194045,0.026298373871917722,0.27830441315385335,0.004967971727463005,0.9932045794637357,0.002500823105939139,0.07747802712399555,0.0027718922082969433,5.340383721790568,0.1715041730247069,61.07939276043508,0.03933739088199548
Apple,Overripe,Apple_Overripe_006.jpg,Apple/Overripe/Apple_Overripe_006.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_006.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_006_mask.png,0.4982950629714443,0.1459990263749687,0.2790493124329944,0.06052260082085307,0.876770208508457,0.023983956727246507,0.21607685616903918,0.007293611994450739,0.9909452808482793,0.0026704748119331595,0.04674240454782125,0.0031793076814271505,5.179013155491095,0.15662205686865943,27.536580860041074,0.07112082970821487
Apple,Overripe,Apple_Overripe_007.jpg,Apple/Overripe/Apple_Overripe_007.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_007.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_007_mask.png,0.3393968880169002,0.08826205548065176,0.2372702096445795,0.04374584510384395,0.8907560194696633,0.017829451882734493,0.2712785753585218,0.006952476777614903,0.9862019633439494,0.0036119421674477067,0.07364040238189243,0.0037954959991369215,4.5469635652216525,0.12173794605930734,12.305449065191675,0.028451984190023576
Apple,Overripe,Apple_Overripe_008.jpg,Apple/Overripe/Apple_Overripe_008.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_008.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_008_mask.png,0.5501408792915081,0.1465397073231894,0.3137095418949219,0.05514500957730987,0.860370254027695,0.021848726708650915,0.2088506618256432,0.008142723878615941,0.9872801194057229,0.0034300036173954213,0.04368490289717256,0.0034005770249714053,5.357463838899394,0.1359272801631782,21.649080574546907,0.09074811994268078
Apple,Overripe,Apple_Overripe_009.jpg,Apple/Overripe/Apple_Overripe_009.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_009.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_009_mask.png,0.16636581950612922,0.03353493202947979,0.11992710520310715,0.017381532013192685,0.9441571836148683,0.00741983177139681,0.3941374188543358,0.003499530065420434,0.9946973869241458,0.001080167748754791,0.15535655165183687,0.00275886941297664,3.634592504693713,0.057660534324416965,15.694244754596362,0.03496947274677943
Apple,Overripe,Apple_Overripe_010.jpg,Apple/Overripe/Apple_Overripe_010.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_010.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_010_mask.png,0.273568038259408,0.056196229364476574,0.24255524587928506,0.04233560272900545,0.8817529666045991,0.019818834707042456,0.18688945850261435,0.007387358913805049,0.9942225500114537,0.0011879916035640046,0.03498224277112178,0.0027538782731134784,5.312210857889136,0.12494064298617742,23.676608505795443,0.006754665936911367
