fruit,category,image,image_path,R_mean,G_mean,B_mean
Apple,Unripe,Apple_Unripe_013.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_013.jpg,185.83641771718948,199.04652228085607,115.11845866314863
Apple,Rotten,Apple_Rotten_091.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_091.jpg,143.8171767513688,124.97629159062193,127.4291029060789
Apple,Unripe,Apple_Unripe_074.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_074.jpg,184.9030424669868,184.87585159063624,124.21503226290517
Apple,Unripe,Apple_Unripe_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_077.jpg,121.32959443800695,121.40536500579374,65.22004634994207
Apple,Overripe,Apple_Overripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_019.jpg,230.96193285573816,164.5777760219132,94.85746769209159
Apple,Unripe,Apple_Unripe_046.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_046.jpg,219.954814459373,149.77039347408828,80.58255136134215
Apple,Ripe,Apple_Ripe_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_031.jpg,184.9170035317646,145.3428896642696,131.75785072975617
Apple,Unripe,Apple_Unripe_078.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_078.jpg,227.81830939568735,149.8988811892687,71.46825519724362
Apple,Rotten,Apple_Rotten_005.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_005.jpg,57.28216978497626,32.941957553755934,23.32846970120078
Apple,Overripe,Apple_Overripe_071.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_071.jpg,161.75390206169777,85.67837668106485,68.98163082437276
Apple,Unripe,Apple_Unripe_084.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_084.jpg,134.03018073015585,134.82930119682857,70.396588887884
Apple,Ripe,Apple_Ripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_019.jpg,221.05814211148316,123.81314014181604,19.990508666535355
Apple,Unripe,Apple_Unripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_001.jpg,139.02569131495815,139.45616681388768,72.04181201622924
Apple,Rotten,Apple_Rotten_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_045.jpg,148.4524009226253,129.1454882225484,131.64728804081918
Apple,Unripe,Apple_Unripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_019.jpg,176.00412012702586,197.31817144838664,96.94279730617609
Apple,Unripe,Apple_Unripe_040.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_040.jpg,128.05321556262916,130.61057975168586,78.07827703772988
Apple,Rotten,Apple_Rotten_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_001.jpg,125.45083698221413,99.47751579028946,80.76920021699539
Apple,Ripe,Apple_Ripe_032.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_032.jpg,171.18726855933699,73.78734350202787,65.80778081467113
Apple,Overripe,Apple_Overripe_023.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_023.jpg,230.76476487825298,161.3517581804228,90.83668806251308
Apple,Rotten,Apple_Rotten_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_054.jpg,209.54613879089547,138.1265222539023,115.01348886096747
Apple,Rotten,Apple_Rotten_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_077.jpg,192.43697720355553,145.8779755306069,99.37626730897144
Apple,Ripe,Apple_Ripe_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_045.jpg,171.34196340166488,106.84775752686201,109.2288954490447
Apple,Rotten,Apple_Rotten_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_031.jpg,205.57987118196547,130.42049886984177,64.76011641629829
Apple,Overripe,Apple_Overripe_013.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_013.jpg,230.60493138936536,165.99867066895368,97.78045454545455
Apple,Unripe,Apple_Unripe_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_054.jpg,140.95152837454097,141.2315048839595,73.77761258381528
Apple,Ripe,Apple_Ripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_001.jpg,104.68842686996014,40.833151821299474,30.45774631569191
Apple,Overripe,Apple_Overripe_081.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_081.jpg,171.23282682406128,116.89954581606597,98.65357486709364
