fruit,category,image,H_mean,S_mean,V_mean
Apple,Unripe,Apple_Unripe_013.jpg,34.35019055995309,109.83753542460667,199.24604221635883
Apple,Rotten,Apple_Rotten_091.jpg,106.46434086761197,98.29378422013197,144.2053207918012
Apple,Unripe,Apple_Unripe_074.jpg,29.727678571428573,86.59494297719088,185.66537740096038
Apple,Unripe,Apple_Unripe_077.jpg,29.86960602549247,136.66414059482426,122.19058709926612
Apple,Overripe,Apple_Overripe_019.jpg,22.212889801938474,155.9841533220958,231.22590953785644
Apple,Unripe,Apple_Unripe_046.jpg,26.810807208359993,169.8971262529324,220.4324571692614
Apple,Ripe,Apple_Ripe_031.jpg,73.59007063529212,83.35041062082465,185.4468107740096
Apple,Unripe,Apple_Unripe_078.jpg,22.145745422167163,180.12829545894468,228.07903294491115
Apple,Rotten,Apple_Rotten_005.jpg,27.44850600390952,167.7219212510472,57.44949734710975
Apple,Overripe,Apple_Overripe_071.jpg,36.69760745029562,142.15509833654994,162.26040805073063
Apple,Unripe,Apple_Unripe_084.jpg,29.999381990292726,134.94392692412046,135.45009194778572
Apple,Ripe,Apple_Ripe_019.jpg,14.638898463659642,232.48105426432932,221.05817904274178
Apple,Unripe,Apple_Unripe_001.jpg,29.94604973575075,136.13269354573083,140.18223092240206
Apple,Rotten,Apple_Rotten_045.jpg,107.30271894876634,94.71524428601384,148.84077724190956
Apple,Unripe,Apple_Unripe_019.jpg,36.36407687253614,133.39706982771207,197.35771645495691
Apple,Unripe,Apple_Unripe_040.jpg,30.98354503899709,109.23902122588139,131.0480297795948
Apple,Rotten,Apple_Rotten_001.jpg,26.269054907583214,109.99627039175418,126.0115375673267
Apple,Ripe,Apple_Ripe_032.jpg,38.427406982895434,160.7781035090813,171.19008993122907
Apple,Overripe,Apple_Overripe_023.jpg,23.529486150840718,161.05588502058188,231.01235784553128
Apple,Rotten,Apple_Rotten_054.jpg,15.78753684820954,114.46078988063596,209.56313125211423
Apple,Rotten,Apple_Rotten_077.jpg,15.0856529538629,124.46950396065547,192.43697720355553
Apple,Ripe,Apple_Ripe_045.jpg,126.08937804833327,99.6512523378195,171.34196340166488
Apple,Rotten,Apple_Rotten_031.jpg,13.780054207589062,176.0669943792131,205.58140639689557
Apple,Overripe,Apple_Overripe_013.jpg,21.52000857632933,152.6069296740995,230.8672384219554
Apple,Unripe,Apple_Unripe_054.jpg,29.79730824697819,132.24887379016073,142.15704122745723
Apple,Ripe,Apple_Ripe_001.jpg,44.54960492167949,184.29760056539067,104.92064834553712
Apple,Overripe,Apple_Overripe_081.jpg,24.7256268575495,114.01364644815605,171.25040813763658
Apple,Ripe,Apple_Ripe_011.jpg,14.347470038898251,137.55559930077638,217.25320477487836
Apple,Rotten,Apple_Rotten_046.jpg,22.639357668574828,172.48717567467102,234.14550033454762
Apple,Rotten,Apple_Rotten_071.jpg,18.392660883782188,54.72526567964031,172.81285480721195
Apple,Unripe,Apple_Unripe_034.jpg,38.91406822123723,137.7895740990557,247.3715503950665
Apple,Unripe,Apple_Unripe_023.jpg,29.650843963010264,74.8037266698466,180.7792155836962
Apple,Overripe,Apple_Overripe_031.jpg,33.977119232468596,181.472558858802,137.01241873382565
Apple,Unripe,Apple_Unripe_032.jpg,29.60882093853114,133.28647147528255,136.1891208922466
