fruit,category,image,image_path,L_mean,a_mean,b_mean
Apple,Unripe,Apple_Unripe_013.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_013.jpg,197.9876502491938,110.83900127039969,168.29757891136518
Apple,Rotten,Apple_Rotten_091.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_091.jpg,131.1803488698582,136.602081285975,130.38208970939212
Apple,Unripe,Apple_Unripe_074.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_074.jpg,186.91295018007202,118.60289615846338,158.73359468787515
Apple,Unripe,Apple_Unripe_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_077.jpg,123.8957010428737,119.41427964465045,157.89274237157204
Apple,Overripe,Apple_Overripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_019.jpg,190.32461546565528,148.26453855878634,171.21808716111815
Apple,Unripe,Apple_Unripe_046.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_046.jpg,178.1054062699936,149.81676085874741,172.0412312504443
Apple,Ripe,Apple_Ripe_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_031.jpg,162.35491042934342,142.60396366112082,142.22494787455852
Apple,Unripe,Apple_Unripe_078.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_078.jpg,180.46443227130192,152.0431845457009,177.00064844566606
Apple,Rotten,Apple_Rotten_005.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_005.jpg,41.686163082937725,138.11669924602066,138.1160150795867
Apple,Overripe,Apple_Overripe_071.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_071.jpg,115.80279462671936,157.57421958766045,151.8674026590693
Apple,Unripe,Apple_Unripe_084.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_084.jpg,137.91551355099332,118.14286952458473,161.94016987730245
Apple,Ripe,Apple_Ripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_019.jpg,161.6939875910971,157.71758666535356,191.34611975576126
Apple,Unripe,Apple_Unripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_001.jpg,142.39734702738312,117.94397616516702,163.25987378916952
Apple,Rotten,Apple_Rotten_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_045.jpg,135.59851820787028,136.84996854686517,130.47162228279862
Apple,Unripe,Apple_Unripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_019.jpg,194.13621970360637,106.00614140750474,175.0130265367207
Apple,Unripe,Apple_Unripe_040.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_040.jpg,134.098839138896,118.72240409129995,155.91588848492162
Apple,Rotten,Apple_Rotten_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_001.jpg,111.90922036656721,137.34461580191422,143.27947843608322
Apple,Ripe,Apple_Ripe_032.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_032.jpg,114.62959795450537,166.72281343678364,154.08885558102628
Apple,Overripe,Apple_Overripe_023.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_023.jpg,188.51473871485382,149.35904904765226,172.01346542942858
Apple,Rotten,Apple_Rotten_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_054.jpg,164.1431824771662,152.85130237278307,151.8859638525105
Apple,Rotten,Apple_Rotten_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_077.jpg,162.94535706367282,140.08167718138392,159.47438171446998
Apple,Ripe,Apple_Ripe_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_045.jpg,133.30796875572995,154.0965198577139,137.89372547581502
Apple,Rotten,Apple_Rotten_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_031.jpg,157.17255915828216,151.08779729162083,174.60524473426278
Apple,Overripe,Apple_Overripe_013.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_013.jpg,191.11728987993138,147.70529159519725,170.19799313893654
Apple,Unripe,Apple_Unripe_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_054.jpg,144.5826481913739,118.02322668411115,163.37690489287996
Apple,Ripe,Apple_Ripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_001.jpg,66.03032023357123,153.73011863935488,148.69182732412642
Apple,Overripe,Apple_Overripe_081.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_081.jpg,137.17099920465486,147.53854284398676,146.9507304617188
Apple,Ripe,Apple_Ripe_011.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_011.jpg,176.24044866848297,144.444892832958,166.79933542260508
Apple,Rotten,Apple_Rotten_046.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_046.jpg,182.3941621440785,155.51077986766782,175.63416288751765
Apple,Rotten,Apple_Rotten_071.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_071.jpg,159.8693571461011,136.1433023752214,136.745719605795
Apple,Unripe,Apple_Unripe_034.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_034.jpg,235.5967768356138,95.92051455000964,186.74572653690498
Apple,Unripe,Apple_Unripe_023.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_023.jpg,182.55082626825254,119.80366512286317,154.1599067563201
Apple,Overripe,Apple_Overripe_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_031.jpg,113.9076563782112,139.93173641355804,156.2176355488228
Apple,Unripe,Apple_Unripe_032.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_032.jpg,138.30679934903026,118.54146572704063,161.6314294459292
Apple,Ripe,Apple_Ripe_046.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_046.jpg,161.20328369983235,157.77132432698946,191.50820924958091
