image,image_path,actual_fruit,predicted_fruit,fruit_confidence,fruit_correct,low_fruit_confidence,actual_category,predicted_condition,condition_type,condition_confidence,condition_correct,overall_correct,raw_damage_percentage,damage_percentage,damage_level,processing_time_seconds
Grape_Rotten_089.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Rotten\Grape_Rotten_089.jpg,Grape,Grape,88.66666666666667,True,False,Rotten,Rotten,Ripeness,57.03364249195897,True,True,37.141967621419674,15.364823014768836,Moderate,0.6616300002206117
Apple_Unripe_090.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_090.jpg,Apple,Apple,88.66666666666667,True,False,Unripe,Unripe,Ripeness,93.08530064419648,True,True,35.968031771918696,19.798824762729907,Moderate,0.35637150006368756
Mango_Unripe_026.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Unripe\Mango_Unripe_026.jpg,Mango,Mango,70.0,True,False,Unripe,Unripe,Ripeness,72.71913817923395,True,True,84.50956345077053,13.74434536390974,Moderate,0.7995440000668168
Grape_Rotten_082.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Rotten\Grape_Rotten_082.jpg,Grape,Grape,89.0,True,False,Rotten,Rotten,Ripeness,66.6973910506185,True,True,89.46956249347396,14.725414322726325,Moderate,0.21501079993322492
Melon_Rotten_006.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Melon\Rotten\Melon_Rotten_006.jpg,Melon,Melon,40.666666666666664,True,False,Rotten,Overripe,Ripeness,48.6974348569313,False,False,65.94922261940653,18.910161885874714,Moderate,0.41944289999082685
Guava_Class_B_075.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_B\Guava_Class_B_075.jpg,Guava,Guava,75.0,True,False,Class_B,Class_B,Quality Category,76.82267547267548,True,True,23.233146433694092,11.956981301292133,Moderate,0.5021309000439942
Mango_Overripe_050.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Overripe\Mango_Overripe_050.jpg,Mango,Mango,63.33333333333333,True,False,Overripe,Overripe,Ripeness,46.60022060124506,True,True,16.826025459688825,10.546581248526639,Moderate,0.6376515000592917
Melon_Unripe_084.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Melon\Unripe\Melon_Unripe_084.jpg,Melon,Melon,50.33333333333333,True,False,Unripe,Ripe,Ripeness,51.58305376706659,False,False,34.03335054822819,13.208618842985262,Moderate,0.3436475000344217
Apple_Overripe_004.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_004.jpg,Apple,Apple,85.0,True,False,Overripe,Overripe,Ripeness,39.14863779125101,True,True,34.53734692325246,16.621607026555488,Moderate,0.27538580005057156
Apple_Ripe_004.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_004.jpg,Apple,Apple,74.66666666666667,True,False,Ripe,Ripe,Ripeness,40.044053809003074,True,True,45.16129032258064,19.770683413324978,Moderate,0.26209600013680756
Banana_Rotten_080.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_080.jpg,Banana,Banana,72.66666666666667,True,False,Rotten,Overripe,Ripeness,43.42897494824704,False,False,65.57948297482396,19.36561022957461,Moderate,0.38352959998883307
Apple_Ripe_095.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_095.jpg,Apple,Apple,42.0,True,False,Ripe,Overripe,Ripeness,30.4716626138346,False,False,33.70166253329659,16.906084593437125,Moderate,0.7096911000553519
